open,high,low,close,volume,datetime
73.0,75.9375,73.0,74.625,3671500,2000-01-03 06:00:00
74.25,74.25,71.5,71.625,3358100,2000-01-04 06:00:00
71.625,72.5,70.75,71.625,2616200,2000-01-05 06:00:00
71.625,73.125,71.125,71.5625,1889700,2000-01-06 06:00:00
71.625,75.1875,71.625,74.8125,2169600,2000-01-07 06:00:00
74.8125,76.625,74.375,75.5,3518700,2000-01-10 06:00:00
75.125,75.125,72.8125,72.9375,2504800,2000-01-11 06:00:00
74.3125,77.375,74.3125,76.375,3922500,2000-01-12 06:00:00
76.375,77.625,76.0625,76.375,2988700,2000-01-13 06:00:00
76.6875,82.25,76.6875,82.25,5413200,2000-01-14 06:00:00
82.25,85.75,80.9375,83.0,6833900,2000-01-18 06:00:00
83.0,83.4375,80.3125,81.5,3133300,2000-01-19 06:00:00
81.5,83.9375,81.25,81.5,4611000,2000-01-20 06:00:00
81.5,83.0,80.0,81.9375,4078200,2000-01-21 06:00:00
81.9375,83.75,79.0,79.8125,3990800,2000-01-24 06:00:00
79.8125,79.8125,77.1875,77.9375,2981700,2000-01-25 06:00:00
77.9375,79.6875,77.5,78.5625,3035100,2000-01-26 06:00:00
78.8125,83.875,78.8125,82.875,5755300,2000-01-27 06:00:00
82.875,83.6875,78.0,79.0,4583400,2000-01-28 06:00:00
79.25,82.4375,79.25,80.5625,5044400,2000-01-31 06:00:00
80.5625,87.125,80.125,85.25,11776400,2000-02-01 06:00:00
85.25,86.1875,80.6875,81.375,7491900,2000-02-02 06:00:00
81.375,82.5,81.0,81.875,4004200,2000-02-03 06:00:00
81.875,82.875,81.0625,82.375,3109400,2000-02-04 06:00:00
81.875,81.875,80.375,80.4375,2918800,2000-02-07 06:00:00
80.4375,80.5625,78.4375,79.5,4262600,2000-02-08 06:00:00
79.5,81.1875,78.5,79.125,4313900,2000-02-09 06:00:00
79.125,79.75,76.3125,76.875,2937600,2000-02-10 06:00:00
76.875,76.9375,73.125,73.9375,4692700,2000-02-11 06:00:00
73.9375,75.4375,72.6875,75.0,3359100,2000-02-14 06:00:00
75.0,75.5625,73.75,74.0625,3196000,2000-02-15 06:00:00
74.0625,74.9375,72.75,74.75,2817400,2000-02-16 06:00:00
74.75,76.5,73.8125,74.125,3180100,2000-02-17 06:00:00
74.125,74.8125,73.25,73.75,2296500,2000-02-18 06:00:00
73.75,74.1875,72.8125,73.625,2350900,2000-02-22 06:00:00
73.5,73.5,71.5625,73.0,4115500,2000-02-23 06:00:00
73.0,76.4375,72.625,75.25,5157600,2000-02-24 06:00:00
75.3125,77.5,75.3125,77.0625,6543000,2000-02-25 06:00:00
77.375,78.75,77.375,77.6875,4671800,2000-02-28 06:00:00
77.6875,78.125,76.0,76.0625,4012300,2000-02-29 06:00:00
76.0625,76.875,74.0625,74.25,4311800,2000-03-01 06:00:00
74.25,75.1875,73.875,73.9375,2562100,2000-03-02 06:00:00
74.5625,76.875,74.5625,75.875,3073400,2000-03-03 06:00:00
76.0,78.75,76.0,76.3125,3192500,2000-03-06 06:00:00
76.3125,77.375,74.25,74.5625,3179000,2000-03-07 06:00:00
74.5625,76.1875,74.125,75.75,3719700,2000-03-08 06:00:00
75.9375,78.1875,75.9375,77.5625,2314600,2000-03-09 06:00:00
77.5625,79.3125,77.125,77.8125,2494700,2000-03-10 06:00:00
77.8125,79.5625,76.125,77.8125,3455900,2000-03-13 06:00:00
77.8125,79.0,76.0,76.0625,2381500,2000-03-14 06:00:00
76.0625,79.5,75.5,78.8125,3277300,2000-03-15 06:00:00
79.0,83.75,79.0,83.75,6048600,2000-03-16 06:00:00
83.75,84.5625,79.9375,80.125,6191300,2000-03-17 06:00:00
80.125,82.375,79.5625,81.0,3385400,2000-03-20 06:00:00
81.0,81.6875,79.875,80.1875,3220000,2000-03-21 06:00:00
80.3125,82.3125,80.3125,81.75,3021200,2000-03-22 06:00:00
82.0,87.25,82.0,87.0,10333100,2000-03-23 06:00:00
86.3125,86.3125,84.375,85.375,4986700,2000-03-24 06:00:00
85.375,88.125,85.0,85.0,4485100,2000-03-27 06:00:00
84.875,84.875,83.5625,83.9375,2292000,2000-03-28 06:00:00
83.9375,84.8125,81.0,81.0,3201100,2000-03-29 06:00:00
81.0,82.875,80.5,81.875,4375100,2000-03-30 06:00:00
81.875,84.375,81.4375,82.8125,2164100,2000-03-31 06:00:00
82.8125,84.875,82.0,84.8125,2441400,2000-04-03 05:00:00
84.8125,85.9375,79.25,82.875,4619500,2000-04-04 05:00:00
82.875,83.5,81.4375,82.4375,2441200,2000-04-05 05:00:00
83.3125,85.5,83.3125,84.6875,1946700,2000-04-06 05:00:00
84.6875,86.625,84.1875,84.625,2836400,2000-04-07 05:00:00
85.9375,88.3125,85.9375,86.0,4787400,2000-04-10 05:00:00
86.0,88.9375,85.5625,87.4375,5524700,2000-04-11 05:00:00
87.5,91.0,87.5,87.5,9106200,2000-04-12 05:00:00
87.5,88.5,84.5,88.0,4468800,2000-04-13 05:00:00
87.0,87.0,80.9375,82.0625,5659100,2000-04-14 05:00:00
82.0625,85.375,81.0,85.375,5230600,2000-04-17 05:00:00
85.375,88.25,83.875,88.0,4459800,2000-04-18 05:00:00
88.0,89.0,86.625,88.5,3319700,2000-04-19 05:00:00
88.5625,91.25,88.5625,88.75,16583200,2000-04-20 05:00:00
88.375,88.375,86.75,87.75,5936200,2000-04-24 05:00:00
87.8125,90.125,87.8125,89.4375,6004700,2000-04-25 05:00:00
89.4375,93.4375,89.125,92.0,8331900,2000-04-26 05:00:00
92.0,94.375,89.9375,92.8125,8676800,2000-04-27 05:00:00
92.875,94.625,92.875,93.625,10055900,2000-04-28 05:00:00
93.625,93.625,90.75,92.6875,5624400,2000-05-01 05:00:00
92.6875,94.0625,90.5,93.375,8219500,2000-05-02 05:00:00
91.0,91.0,87.0,88.0625,12639700,2000-05-03 05:00:00
88.0625,89.0625,86.4375,88.125,7894900,2000-05-04 05:00:00
87.125,87.125,85.5625,86.20313,9249200,2000-05-05 05:00:00
86.0625,86.0625,84.875,85.125,8162100,2000-05-08 05:00:00
85.3125,87.625,85.3125,86.07813,7475300,2000-05-09 05:00:00
84.875,84.875,80.75,81.9375,16806400,2000-05-10 05:00:00
81.9375,83.1875,81.75,82.48438,6533800,2000-05-11 05:00:00
82.5625,86.875,82.5625,85.01563,12882100,2000-05-12 05:00:00
85.01563,86.5625,83.0625,86.4375,6656600,2000-05-15 05:00:00
86.5625,90.0625,86.5625,89.3125,12962500,2000-05-16 05:00:00
88.875,88.875,86.25,86.375,14997400,2000-05-17 05:00:00
87.9375,89.875,87.9375,89.5,21430400,2000-05-18 05:00:00
