open,high,low,close,volume,datetime
32.78839,32.83005,28.64297,31.08022,2792979,2000-01-03 06:00:00
29.87201,30.91357,28.58047,28.97627,2935794,2000-01-04 06:00:00
28.70546,31.49685,24.9975,30.9969,3390339,2000-01-05 06:00:00
30.16365,32.83005,29.6637,32.37176,2742574,2000-01-06 06:00:00
32.3301,36.16305,32.3301,36.10056,4736874,2000-01-07 06:00:00
38.3295,40.28764,37.6629,39.82935,5765977,2000-01-10 06:00:00
38.62114,39.49605,35.9964,36.70466,3385539,2000-01-11 06:00:00
36.78799,36.80882,32.49675,35.20481,4256526,2000-01-12 06:00:00
35.37146,39.24607,34.82985,38.70446,3178818,2000-01-13 06:00:00
39.45439,39.996,35.82975,38.49615,2878188,2000-01-14 06:00:00
38.03786,39.996,34.9965,35.68393,3359736,2000-01-18 06:00:00
35.68393,40.70426,35.3298,40.3293,2685269,2000-01-19 06:00:00
38.6628,41.49585,32.6634,40.89174,15552055,2000-01-20 06:00:00
41.82915,49.6617,39.6627,49.24508,9228023,2000-01-21 06:00:00
47.9952,50.53661,43.6623,45.76625,4815782,2000-01-24 06:00:00
46.82865,47.07862,41.53751,45.28714,4178518,2000-01-25 06:00:00
44.91217,49.6617,44.6622,47.78689,3651065,2000-01-26 06:00:00
48.03686,48.3285,43.41233,43.41233,1650765,2000-01-27 06:00:00
43.16235,44.18308,40.72509,42.74572,1899790,2000-01-28 06:00:00
42.62074,42.6624,39.6627,42.05829,2177618,2000-01-31 06:00:00
42.20411,44.41222,40.83966,44.30807,1501050,2000-02-01 06:00:00
37.9962,39.24607,34.97567,35.3298,16298530,2000-02-02 06:00:00
35.9964,37.16295,34.16325,34.37156,8476448,2000-02-03 06:00:00
35.26731,38.07952,34.24657,36.49635,3220222,2000-02-04 06:00:00
37.82955,38.60031,36.663,38.26701,3684368,2000-02-07 06:00:00
39.05859,43.49565,38.49615,43.28734,5077408,2000-02-08 06:00:00
43.16235,43.20401,39.49605,40.9959,3266427,2000-02-09 06:00:00
41.12089,41.2667,38.6628,39.05859,2262826,2000-02-10 06:00:00
39.10026,40.9959,38.24617,39.6002,2169817,2000-02-11 06:00:00
39.6627,40.9959,38.91277,39.6002,1397540,2000-02-14 06:00:00
39.64187,39.74603,37.82955,38.78779,1440744,2000-02-15 06:00:00
38.6628,41.74583,37.6629,40.62094,4291629,2000-02-16 06:00:00
40.95424,44.3289,40.91257,43.87061,5102310,2000-02-17 06:00:00
44.91217,49.6617,40.9959,43.95394,5255026,2000-02-18 06:00:00
43.82895,44.07893,40.76676,41.62084,2593159,2000-02-22 06:00:00
43.34983,46.662,41.9958,46.30787,1815482,2000-02-23 06:00:00
46.39119,46.9953,44.26641,46.24538,2411041,2000-02-24 06:00:00
47.41193,47.49525,45.24548,45.80792,1927993,2000-02-25 06:00:00
46.662,47.6619,43.41233,44.49555,4114311,2000-02-28 06:00:00
44.5997,47.9952,44.41222,46.95364,2574857,2000-02-29 06:00:00
46.82865,49.995,45.3288,48.93261,1934893,2000-03-01 06:00:00
49.95334,49.95334,45.57877,46.34953,1827183,2000-03-02 06:00:00
47.30777,49.995,46.3287,49.995,2667267,2000-03-03 06:00:00
49.3284,57.6609,49.16175,57.09846,4146415,2000-03-06 06:00:00
56.74432,56.82765,50.74493,52.84888,3462646,2000-03-07 06:00:00
53.24467,53.36966,48.9951,50.86991,1746475,2000-03-08 06:00:00
52.64057,52.6614,47.16195,47.62024,1603960,2000-03-09 06:00:00
48.28684,49.16175,42.3291,43.09986,3360336,2000-03-10 06:00:00
41.9958,42.9332,38.41283,38.57948,4318032,2000-03-13 06:00:00
39.93351,39.97517,31.6635,34.9965,10686469,2000-03-14 06:00:00
35.49645,36.87131,32.9967,36.18388,9728473,2000-03-15 06:00:00
36.91298,41.3292,36.82965,39.95434,8470747,2000-03-16 06:00:00
38.9961,41.37086,38.82945,39.64187,3075008,2000-03-17 06:00:00
39.78769,41.3292,35.16315,35.49645,3603360,2000-03-20 06:00:00
34.9965,38.9961,29.85118,38.5274,10194719,2000-03-21 06:00:00
39.49605,45.43296,38.45449,43.74562,4879988,2000-03-22 06:00:00
44.49555,45.07883,41.28754,42.03746,3172817,2000-03-23 06:00:00
42.49575,43.09986,38.3295,39.6627,2843984,2000-03-24 06:00:00
39.49605,40.82925,37.9337,39.14192,2810981,2000-03-27 06:00:00
38.91277,40.16265,37.45459,37.82955,2055206,2000-03-28 06:00:00
38.53261,38.55864,32.16345,32.20511,8187219,2000-03-29 06:00:00
32.37176,34.24657,27.24727,28.91377,6729073,2000-03-30 06:00:00
29.997,34.40281,29.62204,32.74672,4108611,2000-03-31 06:00:00
33.12169,33.33,30.3303,31.37186,3118812,2000-04-03 05:00:00
31.16355,33.20501,27.9972,32.16345,4142814,2000-04-04 05:00:00
31.53851,38.57948,31.3302,36.663,5295830,2000-04-05 05:00:00
38.3295,39.6627,33.82995,35.68393,3437744,2000-04-06 05:00:00
36.3297,36.3297,32.41343,33.76746,3474047,2000-04-07 05:00:00
34.07993,34.07993,31.76766,32.28844,1719472,2000-04-10 05:00:00
31.49685,31.53851,28.37216,29.47622,3858986,2000-04-11 05:00:00
25.78909,27.9972,23.08102,26.80982,15037204,2000-04-12 05:00:00
