open,high,low,close,volume,datetime
6.025,6.0875,5.4,5.43125,1419600,2000-01-03 06:00:00
5.2125,5.4,4.86875,4.99375,1122800,2000-01-04 06:00:00
5.11875,5.24375,4.36875,4.5875,3107200,2000-01-05 06:00:00
4.65,5.5875,4.4,5.3375,2073400,2000-01-06 06:00:00
5.525,5.68125,5.275,5.3375,1343800,2000-01-07 06:00:00
5.43125,5.43125,5.05625,5.275,1147000,2000-01-10 06:00:00
5.275,5.4,5.025,5.24375,849200,2000-01-11 06:00:00
5.11875,5.2125,4.7125,4.80625,1717600,2000-01-12 06:00:00
5.0875,5.11875,4.775,4.8375,1477200,2000-01-13 06:00:00
4.8375,4.8375,4.275,4.65,846000,2000-01-14 06:00:00
4.55625,5.025,4.55625,4.99375,1172000,2000-01-18 06:00:00
5.18125,5.18125,4.5875,4.80625,1125400,2000-01-19 06:00:00
4.7125,4.7125,3.9625,4.18125,930600,2000-01-20 06:00:00
4.36875,4.61875,3.9,4.11875,2536400,2000-01-21 06:00:00
4.30625,4.36875,3.525,3.65,1757200,2000-01-24 06:00:00
3.80625,4.05625,3.36875,3.9,1143600,2000-01-25 06:00:00
4.025,4.025,3.15,3.36875,1807200,2000-01-26 06:00:00
3.36875,3.36875,2.74375,3.025,1083800,2000-01-27 06:00:00
2.9937500000000004,3.11875,2.4,2.7125,1047400,2000-01-28 06:00:00
2.65,3.275,2.4,3.2125,1570800,2000-01-31 06:00:00
3.2125,3.3375,2.74375,3.11875,1286200,2000-02-01 06:00:00
3.025,3.4625,2.68125,2.8375,965000,2000-02-02 06:00:00
2.8375,2.9625,2.43125,2.4625,2496200,2000-02-03 06:00:00
2.3375,2.43125,1.9937500000000001,2.275,1451800,2000-02-04 06:00:00
2.775,2.8375,2.55625,2.775,2485200,2000-02-07 06:00:00
3.05625,3.05625,2.0875,2.275,1664400,2000-02-08 06:00:00
2.65,2.65,1.7125,1.8375,1535000,2000-02-09 06:00:00
1.86875,2.4625,1.68125,1.775,2230000,2000-02-10 06:00:00
1.9,1.93125,1.30625,1.49375,1144400,2000-02-11 06:00:00
1.525,1.8375,1.24375,1.5875,1996200,2000-02-14 06:00:00
1.7125,1.9937500000000001,1.65,1.9,1946000,2000-02-15 06:00:00
1.7125,2.5875,1.61875,2.525,1749200,2000-02-16 06:00:00
2.43125,2.65,2.3375,2.525,1519600,2000-02-17 06:00:00
3.025,3.025,1.80625,2.15,1988600,2000-02-18 06:00:00
2.0875,2.43125,1.9625,2.30625,2098400,2000-02-22 06:00:00
2.24375,2.24375,1.4,1.55625,1106800,2000-02-23 06:00:00
1.43125,1.525,0.80625,0.9,1088600,2000-02-24 06:00:00
1.15,1.43125,0.74375,1.2125,1041400,2000-02-25 06:00:00
1.4,1.7125,0.93125,1.3375,1356200,2000-02-28 06:00:00
0.9,1.9937500000000001,0.9,1.8375,1722800,2000-02-29 06:00:00
1.9,2.11875,1.275,2.11875,1485600,2000-03-01 06:00:00
1.9937500000000001,2.24375,1.4625,1.80625,1789800,2000-03-02 06:00:00
1.9,1.9,1.49375,1.8375,2188000,2000-03-03 06:00:00
1.80625,2.025,1.49375,2.025,1065000,2000-03-06 06:00:00
2.15,3.05625,1.9,3.025,2509400,2000-03-07 06:00:00
2.9,3.36875,2.36875,2.9937500000000004,1967200,2000-03-08 06:00:00
3.0875,3.15,2.4,2.9,1095600,2000-03-09 06:00:00
3.025,3.4,2.5875,2.65,1614400,2000-03-10 06:00:00
2.525,2.9937500000000004,2.43125,2.49375,1307600,2000-03-13 06:00:00
2.49375,2.49375,1.68125,2.49375,1927400,2000-03-14 06:00:00
2.65,2.775,1.9,2.775,1870200,2000-03-15 06:00:00
4.025,4.68125,3.55625,4.3375,3939400,2000-03-16 06:00:00
