open,high,low,close,volume,datetime
10.0,10.15,10.0,10.15,16700,2002-03-27 06:00:00
10.15,10.15,10.0,10.1,27400,2002-03-28 06:00:00
10.1,10.15,10.0,10.0,42500,2002-04-01 06:00:00
10.1,10.14,10.0,10.09,49600,2002-04-02 06:00:00
10.05,10.1,10.0,10.05,14800,2002-04-03 06:00:00
10.0,10.03,10.0,10.03,5200,2002-04-04 06:00:00
9.7,10.0,9.7,9.96,39500,2002-04-08 05:00:00
9.9,9.9,9.9,9.9,10000,2002-04-09 05:00:00
9.8,9.89,9.8,9.89,16000,2002-04-10 05:00:00
9.98,9.98,9.8,9.8,4000,2002-04-11 05:00:00
9.9,9.9,9.5,9.5,19300,2002-04-12 05:00:00
9.65,9.74,9.65,9.74,8000,2002-04-15 05:00:00
9.8,9.85,9.7,9.72,31600,2002-04-16 05:00:00
9.8,9.9,9.8,9.8,4700,2002-04-17 05:00:00
9.95,9.95,9.95,9.95,4300,2002-04-18 05:00:00
10.05,10.05,9.85,9.85,11000,2002-04-22 05:00:00
9.9,9.9,9.9,9.9,4200,2002-04-23 05:00:00
10.0,10.0,9.7,9.7,20500,2002-04-24 05:00:00
9.8,9.8,9.8,9.8,8000,2002-04-25 05:00:00
9.4,9.6,9.4,9.6,5500,2002-04-29 05:00:00
9.68,9.68,9.55,9.55,11000,2002-04-30 05:00:00
9.6,9.6,9.6,9.6,1000,2002-05-01 05:00:00
9.7,9.73,9.7,9.73,2000,2002-05-02 05:00:00
9.72,9.72,9.7,9.7,8500,2002-05-03 05:00:00
9.65,9.65,9.6,9.6,6400,2002-05-06 05:00:00
9.6,9.6,9.6,9.6,2300,2002-05-08 05:00:00
9.64,9.64,9.5,9.5,2600,2002-05-10 05:00:00
9.7,9.7,9.7,9.7,10000,2002-05-14 05:00:00
9.56,9.56,9.55,9.55,5000,2002-05-15 05:00:00
9.45,9.45,9.45,9.45,500,2002-05-20 05:00:00
9.35,9.55,9.25,9.45,38500,2002-05-21 05:00:00
9.55,9.55,9.45,9.45,11500,2002-05-22 05:00:00
9.65,9.65,9.55,9.55,11000,2002-05-23 05:00:00
9.5,9.5,9.5,9.5,1000,2002-05-24 05:00:00
9.5,9.5,9.5,9.5,2600,2002-05-28 05:00:00
9.45,9.45,9.45,9.45,1000,2002-05-29 05:00:00
9.2,9.35,9.2,9.35,4100,2002-05-31 05:00:00
9.2,9.2,9.2,9.2,6000,2002-06-03 05:00:00
8.95,8.95,8.8,8.81,20300,2002-06-04 05:00:00
8.95,8.95,8.95,8.95,10000,2002-06-05 05:00:00
8.9,8.9,8.8,8.8,16000,2002-06-06 05:00:00
8.8,8.8,8.8,8.8,6000,2002-06-07 05:00:00
8.85,8.85,8.85,8.85,6000,2002-06-10 05:00:00
8.9,8.9,8.9,8.9,1000,2002-06-11 05:00:00
8.65,8.65,8.58,8.62,31000,2002-06-12 05:00:00
8.75,8.75,8.7,8.7,12600,2002-06-13 05:00:00
8.65,8.65,8.55,8.6,8100,2002-06-14 05:00:00
8.75,8.9,8.75,8.8,11600,2002-06-17 05:00:00
9.0,9.05,8.95,9.05,2200,2002-06-18 05:00:00
8.9,8.9,8.82,8.82,1200,2002-06-19 05:00:00
8.75,8.75,8.75,8.75,6100,2002-06-20 05:00:00
8.8,8.8,8.8,8.8,4000,2002-06-21 05:00:00
8.85,8.85,8.75,8.75,2000,2002-06-24 05:00:00
8.85,8.95,8.7,8.7,10200,2002-06-25 05:00:00
8.65,8.65,8.6,8.6,8500,2002-06-26 05:00:00
8.8,8.8,8.8,8.8,5000,2002-06-27 05:00:00
8.8,8.8,8.8,8.8,5000,2002-06-28 05:00:00
8.7,8.85,8.65,8.75,8200,2002-07-01 05:00:00
8.75,8.75,8.7,8.7,6000,2002-07-02 05:00:00
8.7,8.7,8.6,8.6,9600,2002-07-03 05:00:00
8.65,8.7,8.65,8.65,16500,2002-07-08 05:00:00
8.72,8.72,8.72,8.72,1000,2002-07-09 05:00:00
8.65,8.65,8.6,8.6,5800,2002-07-10 05:00:00
8.35,8.35,8.3,8.3,7100,2002-07-11 05:00:00
8.35,8.35,8.2,8.2,6700,2002-07-12 05:00:00
8.05,8.05,7.9,7.9,10100,2002-07-15 05:00:00
7.95,7.95,7.8,7.9,11000,2002-07-17 05:00:00
7.8,7.8,7.75,7.8,10000,2002-07-18 05:00:00
7.75,7.75,7.7,7.7,3600,2002-07-19 05:00:00
7.55,7.55,7.0,7.0,14500,2002-07-22 05:00:00
6.85,6.85,6.5,6.5,8600,2002-07-23 05:00:00
6.5,6.65,6.35,6.65,23600,2002-07-24 05:00:00
