open,high,low,close,volume,datetime
38.34375,38.75,37.28125,37.46875,1842000,2000-01-03 06:00:00
37.46875,38.125,36.6875,36.84375,1048800,2000-01-04 06:00:00
36.84375,37.0,35.96875,35.96875,905200,2000-01-05 06:00:00
35.6875,35.6875,34.75,35.5,2139600,2000-01-06 06:00:00
35.4375,36.375,35.15625,36.375,1135200,2000-01-07 06:00:00
36.375,37.21875,36.25,36.8125,894000,2000-01-10 06:00:00
36.5,36.6875,35.90625,36.53125,773400,2000-01-11 06:00:00
36.5,36.59375,35.65625,35.84375,796000,2000-01-12 06:00:00
35.625,35.75,34.34375,34.4375,1656800,2000-01-13 06:00:00
34.4375,35.0,34.1875,34.4375,1049200,2000-01-14 06:00:00
33.5625,33.75,33.375,33.5625,799600,2000-01-18 06:00:00
31.5,32.75,31.4375,31.625,3711200,2000-01-19 06:00:00
31.625,31.6875,28.5,28.9375,6278000,2000-01-20 06:00:00
28.96875,30.75,28.9375,30.1875,3481600,2000-01-21 06:00:00
30.9375,31.125,30.15625,30.4375,2375600,2000-01-24 06:00:00
30.0625,30.75,29.875,30.125,1815400,2000-01-25 06:00:00
29.96875,30.40625,29.96875,30.125,900200,2000-01-26 06:00:00
30.375,31.09375,29.875,30.375,1263200,2000-01-27 06:00:00
29.8125,30.09375,29.4375,29.5,2002800,2000-01-28 06:00:00
29.625,30.03125,29.625,29.84375,931400,2000-01-31 06:00:00
29.78125,30.15625,29.6875,30.0,1558000,2000-02-01 06:00:00
29.875,30.875,29.875,30.84375,1807800,2000-02-02 06:00:00
30.84375,31.28125,30.5,30.84375,1429200,2000-02-03 06:00:00
30.96875,31.0625,30.78125,30.875,931400,2000-02-04 06:00:00
31.0,31.0,30.1875,30.5625,968800,2000-02-07 06:00:00
30.5625,31.21875,30.46875,30.75,1422400,2000-02-08 06:00:00
30.625,30.625,30.15625,30.5625,1264000,2000-02-09 06:00:00
30.3125,30.875,30.28125,30.46875,1219200,2000-02-10 06:00:00
30.46875,30.53125,29.84375,29.9375,972000,2000-02-11 06:00:00
29.90625,30.0625,29.71875,29.84375,596800,2000-02-14 06:00:00
30.3125,30.4375,29.25,30.1875,767800,2000-02-15 06:00:00
30.125,30.1875,29.25,29.8125,600400,2000-02-16 06:00:00
29.6875,30.0625,29.0,29.65625,596000,2000-02-17 06:00:00
29.40625,29.9375,29.40625,29.71875,1009400,2000-02-18 06:00:00
29.5,29.90625,29.25,29.75,925800,2000-02-22 06:00:00
29.75,31.0,29.5,29.90625,1117200,2000-02-23 06:00:00
29.78125,30.5625,29.5,30.1875,2898000,2000-02-24 06:00:00
30.1875,30.6875,29.78125,29.78125,1461800,2000-02-25 06:00:00
29.90625,30.84375,29.90625,30.46875,922800,2000-02-28 06:00:00
30.25,30.84375,30.25,30.5,1211800,2000-02-29 06:00:00
30.0625,30.15625,28.75,29.5625,1205400,2000-03-01 06:00:00
29.78125,29.8125,28.8125,28.8125,985400,2000-03-02 06:00:00
28.8125,30.15625,28.8125,29.5,1654600,2000-03-03 06:00:00
29.5625,29.59375,28.8125,28.84375,1059600,2000-03-06 06:00:00
28.84375,29.0,28.03125,28.15625,809400,2000-03-07 06:00:00
27.59375,28.3125,27.4375,27.9375,1558800,2000-03-08 06:00:00
27.125,27.4375,26.625,26.9375,1510200,2000-03-09 06:00:00
26.6875,26.90625,25.5,26.28125,2133800,2000-03-10 06:00:00
25.5,27.125,25.5,26.34375,1756200,2000-03-13 06:00:00
26.375,26.75,25.71875,25.75,1200800,2000-03-14 06:00:00
25.8125,27.40625,25.71875,27.40625,1457600,2000-03-15 06:00:00
29.0,29.8125,27.75,29.65625,2770000,2000-03-16 06:00:00
29.75,30.34375,29.625,30.0,1613000,2000-03-17 06:00:00
30.875,31.0,29.65625,30.1875,1592200,2000-03-20 06:00:00
30.3125,30.5,29.4375,29.96875,1221600,2000-03-21 06:00:00
30.0,30.125,29.5625,29.9375,1592400,2000-03-22 06:00:00
29.9375,31.4375,29.5,30.8125,1463000,2000-03-23 06:00:00
