open,high,low,close,volume,datetime
36.5,36.58,34.82,35.3,87350000,2000-01-03 06:00:00
34.5,34.66,33.9,34.08,138000000,2000-01-04 06:00:00
34.14,35.46,33.9,34.64,99700000,2000-01-05 06:00:00
34.9,36.08,34.54,36.08,91700000,2000-01-06 06:00:00
36.6,36.96,36.1,36.4,100150000,2000-01-07 06:00:00
36.9,37.76,36.12,36.26,101000000,2000-01-10 06:00:00
35.8,35.96,35.3,35.58,72250000,2000-01-11 06:00:00
35.5,35.68,34.72,34.9,51550000,2000-01-12 06:00:00
35.2,35.46,35.02,35.2,61350000,2000-01-13 06:00:00
35.6,35.7,34.02,34.02,134250000,2000-01-14 06:00:00
34.08,34.38,33.8,34.0,137300000,2000-01-18 06:00:00
34.1,34.26,33.54,34.18,88350000,2000-01-19 06:00:00
34.18,34.68,34.0,34.0,81450000,2000-01-20 06:00:00
34.0,34.26,33.88,34.22,70750000,2000-01-21 06:00:00
34.7,34.8,33.76,34.0,66050000,2000-01-24 06:00:00
33.9,34.46,33.8,34.06,62350000,2000-01-25 06:00:00
34.16,34.48,34.0,34.14,53000000,2000-01-26 06:00:00
34.14,34.4,33.72,33.92,47000000,2000-01-27 06:00:00
33.8,33.86,33.08,33.2,98400000,2000-01-28 06:00:00
33.24,33.66,32.92,32.92,111850000,2000-01-31 06:00:00
33.32,33.56,33.06,33.5,52700000,2000-02-01 06:00:00
33.3,33.36,32.7,32.8,103900000,2000-02-02 06:00:00
33.0,33.48,33.0,33.4,60000000,2000-02-03 06:00:00
33.54,33.66,33.0,33.1,62000000,2000-02-04 06:00:00
32.98,33.4,32.82,33.28,77100000,2000-02-07 06:00:00
32.9,33.1,32.6,32.7,103650000,2000-02-08 06:00:00
32.26,32.76,31.54,31.76,176000000,2000-02-09 06:00:00
31.9,31.96,30.0,30.96,222000000,2000-02-10 06:00:00
31.2,31.36,29.7,30.14,252600000,2000-02-11 06:00:00
29.5,29.58,28.32,28.48,271450000,2000-02-14 06:00:00
30.4,30.8,30.02,30.64,229000000,2000-02-15 06:00:00
31.34,34.0,31.2,33.28,2220000,2000-02-16 06:00:00
34.0,34.18,32.1,33.26,97350000,2000-02-17 06:00:00
33.18,33.72,31.0,33.72,100750000,2000-02-18 06:00:00
32.6,32.66,32.0,32.4,825000,2000-02-22 06:00:00
32.4,32.58,32.0,32.32,61100000,2000-02-23 06:00:00
32.1,32.1,30.4,30.78,74550000,2000-02-24 06:00:00
