open,high,low,close,volume,datetime
2.390625,2.390625,2.36719,2.36719,81600,2000-01-03 06:00:00
2.36719,2.36719,2.351565,2.36719,73600,2000-01-04 06:00:00
2.351565,2.359375,2.33594,2.359375,35200,2000-01-05 06:00:00
2.35547,2.359375,2.347655,2.359375,54400,2000-01-06 06:00:00
2.359375,2.390625,2.351565,2.390625,92800,2000-01-07 06:00:00
2.390625,2.4375,2.390625,2.42969,219200,2000-01-10 06:00:00
2.445315,2.5,2.445315,2.476565,100800,2000-01-11 06:00:00
2.476565,2.476565,2.476565,2.476565,14400,2000-01-12 06:00:00
2.49219,2.503905,2.49219,2.503905,51200,2000-01-13 06:00:00
2.496095,2.496095,2.484375,2.49219,22400,2000-01-14 06:00:00
2.5,2.5,2.484375,2.484375,78400,2000-01-18 06:00:00
2.476565,2.476565,2.453125,2.46094,300800,2000-01-19 06:00:00
2.46875,2.476565,2.46875,2.476565,67200,2000-01-20 06:00:00
2.46094,2.46094,2.359375,2.359375,588800,2000-01-21 06:00:00
2.34375,2.34375,2.296875,2.296875,176000,2000-01-24 06:00:00
2.30469,2.30469,2.24219,2.24219,198400,2000-01-25 06:00:00
2.21094,2.21875,2.164065,2.21875,849600,2000-01-26 06:00:00
2.234375,2.234375,2.1875,2.1875,24000,2000-01-27 06:00:00
2.1875,2.203125,2.078125,2.09375,230400,2000-01-28 06:00:00
2.14844,2.15625,2.13672,2.14453,617600,2000-01-31 06:00:00
2.14453,2.17969,2.128905,2.164065,208000,2000-02-01 06:00:00
2.15625,2.1875,2.140625,2.171875,150400,2000-02-02 06:00:00
2.21875,2.320315,2.203125,2.289065,433600,2000-02-03 06:00:00
2.289065,2.39453,2.289065,2.33594,320000,2000-02-04 06:00:00
2.33594,2.515625,2.33594,2.46875,448000,2000-02-07 06:00:00
2.484375,2.496095,2.433595,2.4375,419200,2000-02-08 06:00:00
2.4375,2.4375,2.390625,2.390625,180800,2000-02-09 06:00:00
2.375,2.378905,2.3125,2.3125,601600,2000-02-10 06:00:00
2.3125,2.3125,2.296875,2.296875,27200,2000-02-11 06:00:00
2.28125,2.285155,2.26953,2.26953,43200,2000-02-14 06:00:00
2.253905,2.253905,2.13672,2.13672,214400,2000-02-15 06:00:00
2.125,2.140625,2.0625,2.11719,249600,2000-02-16 06:00:00
2.101565,2.24219,2.08594,2.24219,177600,2000-02-17 06:00:00
2.24219,2.24219,2.21094,2.21094,136000,2000-02-18 06:00:00
2.195315,2.195315,2.125,2.125,115200,2000-02-22 06:00:00
2.109375,2.109375,2.02344,2.02344,174400,2000-02-23 06:00:00
2.007815,2.015625,1.98828,2.015625,64000,2000-02-24 06:00:00
2.007815,2.007815,1.953125,1.953125,59200,2000-02-25 06:00:00
