open,high,low,close,volume,datetime
407.9592,409.79232,397.79352,399.96,2759001,2000-01-03 06:00:00
392.62744,394.6272,383.9616,383.9616,2765451,2000-01-04 06:00:00
383.29504,391.9608,380.12864,383.29504,3411941,2000-01-05 06:00:00
381.62848,391.79416,380.29528,388.41952,2484398,2000-01-06 06:00:00
394.6272,404.95952,391.9608,403.45968,2517926,2000-01-07 06:00:00
407.12592,410.79224,402.95968,403.29296,1903502,2000-01-10 06:00:00
402.6264,407.12592,401.62648,403.9596,1890564,2000-01-11 06:00:00
402.79304,408.62576,401.45984,405.2928,2293016,2000-01-12 06:00:00
408.29248,413.12536,407.9592,409.95904,1869374,2000-01-13 06:00:00
408.95912,412.29208,398.79344,402.6264,2310268,2000-01-14 06:00:00
398.96008,398.96008,391.29416,394.6272,2287316,2000-01-18 06:00:00
390.6276,402.45976,389.96096,396.54368,1856398,2000-01-19 06:00:00
397.46024,399.29336,380.29528,389.12776,3845259,2000-01-20 06:00:00
394.46056,395.29376,383.79496,384.29488,3000975,2000-01-21 06:00:00
387.46128,389.12776,363.79696,368.29648,3389851,2000-01-24 06:00:00
368.12984,374.29592,365.2968,369.2964,3173755,2000-01-25 06:00:00
374.6292,379.12872,370.29632,377.12896,1982298,2000-01-26 06:00:00
377.46224,377.96216,365.46344,377.96216,2405678,2000-01-27 06:00:00
374.12928,374.6292,356.29768,357.2976,3731210,2000-01-28 06:00:00
357.2976,362.46376,354.79784,357.2976,2723109,2000-01-31 06:00:00
357.96424,365.2968,357.2976,362.6304,3417716,2000-02-01 06:00:00
365.63008,366.96328,357.46424,357.46424,2727797,2000-02-02 06:00:00
362.46376,372.79608,360.63064,371.29624,2529253,2000-02-03 06:00:00
375.9624,381.62848,374.6292,377.46224,2271114,2000-02-04 06:00:00
377.7956,377.96216,362.29712,363.9636,2285853,2000-02-07 06:00:00
364.13024,369.12976,363.9636,365.46344,2337121,2000-02-08 06:00:00
365.2968,367.12992,357.46424,357.46424,2003187,2000-02-09 06:00:00
358.79744,365.13016,354.96448,361.13056,2396189,2000-02-10 06:00:00
360.13064,366.13,356.13104,356.63104,2569307,2000-02-11 06:00:00
356.63104,362.46376,356.13104,358.29752,1817919,2000-02-14 06:00:00
357.2976,370.6296,357.13096,366.63,2353173,2000-02-15 06:00:00
364.29688,365.13016,358.29752,361.71384,1816531,2000-02-16 06:00:00
359.63072,361.63048,346.632,349.2984,3615249,2000-02-17 06:00:00
349.2984,351.79816,333.13336,333.63328,4416366,2000-02-18 06:00:00
336.63296,346.632,333.46664,345.63208,3404215,2000-02-22 06:00:00
346.632,354.46456,342.29912,347.9652,2744787,2000-02-23 06:00:00
347.46528,354.46456,336.13304,349.2984,3452670,2000-02-24 06:00:00
345.2988,349.13176,335.13312,336.29968,3334008,2000-02-25 06:00:00
335.9664,352.63144,335.9664,345.13216,3380700,2000-02-28 06:00:00
348.29848,357.2976,346.96528,352.96472,2822157,2000-02-29 06:00:00
355.9644,356.96432,348.63184,350.29832,3336446,2000-03-01 06:00:00
350.29832,362.96368,348.96512,360.63064,2485861,2000-03-02 06:00:00
365.96344,374.6292,365.46344,371.62952,2970784,2000-03-03 06:00:00
371.9628,371.9628,358.96408,366.46336,2312556,2000-03-06 06:00:00
366.29672,366.29672,345.63208,346.46536,3704058,2000-03-07 06:00:00
347.29864,353.13136,344.13224,347.46528,2989686,2000-03-08 06:00:00
347.46528,351.9648,339.13272,343.9656,2363374,2000-03-09 06:00:00
348.96512,357.46424,346.632,351.1316,2587721,2000-03-10 06:00:00
343.9656,347.9652,340.29928,345.13216,2407853,2000-03-13 06:00:00
345.63208,345.96536,338.13288,338.6328,2384038,2000-03-14 06:00:00
338.29952,359.13072,336.63296,356.13104,3239199,2000-03-15 06:00:00
356.46432,371.79616,355.9644,370.6296,3750975,2000-03-16 06:00:00
368.29648,377.12896,365.79672,372.96272,3983273,2000-03-17 06:00:00
372.96272,377.96216,366.96328,375.79576,1949745,2000-03-20 06:00:00
369.96304,403.79296,368.12984,401.2932,4643489,2000-03-21 06:00:00
401.2932,405.12616,396.29368,402.29312,2714221,2000-03-22 06:00:00
403.9596,426.624,402.45976,426.624,3915541,2000-03-23 06:00:00
420.29128,425.95736,415.79176,424.12424,2884901,2000-03-24 06:00:00
420.62464,423.29096,416.62504,421.12456,2051155,2000-03-27 06:00:00
417.95816,422.95768,415.9584,415.9584,2726785,2000-03-28 06:00:00
419.62472,439.62272,419.62472,434.6232,4891877,2000-03-29 06:00:00
