open,high,low,close,volume,datetime
2.013889,2.055556,2.0,2.027778,521550,2000-06-16 05:00:00
2.027778,2.055556,2.0,2.0,1363050,2000-06-19 05:00:00
2.006944,2.180556,1.75,2.083333,1177650,2000-06-20 05:00:00
2.222222,2.472222,2.138889,2.444444,2342250,2000-06-21 05:00:00
2.458333,2.472222,2.118056,2.194444,857700,2000-06-22 05:00:00
2.263889,2.361111,2.222222,2.305556,615150,2000-06-23 05:00:00
2.333333,2.361111,2.166667,2.222222,458550,2000-06-26 05:00:00
2.222222,2.319444,2.0,2.111111,616050,2000-06-27 05:00:00
2.138889,2.194444,2.027778,2.138889,828000,2000-06-28 05:00:00
2.194444,2.194444,2.0,2.0,834300,2000-06-29 05:00:00
2.069444,2.138889,2.027778,2.097222,859500,2000-06-30 05:00:00
2.166667,2.166667,2.111111,2.138889,144450,2000-07-03 05:00:00
2.166667,2.222222,2.111111,2.222222,621900,2000-07-05 05:00:00
2.222222,2.236111,2.097222,2.166667,584550,2000-07-06 05:00:00
2.229167,2.583333,2.125,2.277778,3571650,2000-07-07 05:00:00
2.458333,2.944444,2.319444,2.791667,2830500,2000-07-10 05:00:00
3.013889,3.166667,2.638889,2.833333,6016500,2000-07-11 05:00:00
3.104167,3.430556,2.819444,3.333333,4926150,2000-07-12 05:00:00
4.0,4.027778,3.583333,3.722222,5490900,2000-07-13 05:00:00
3.916667,3.944444,3.305556,3.444444,2537100,2000-07-14 05:00:00
3.555556,3.583333,3.388889,3.472222,829800,2000-07-17 05:00:00
3.486111,3.541667,3.194444,3.222222,604350,2000-07-18 05:00:00
3.194444,3.222222,2.916667,3.111111,792900,2000-07-19 05:00:00
3.069444,3.694444,3.027778,3.527778,1184400,2000-07-20 05:00:00
3.527778,3.805556,3.472222,3.805556,857700,2000-07-21 05:00:00
3.777778,3.944444,3.569444,3.722222,837900,2000-07-24 05:00:00
3.75,3.833333,3.444444,3.583333,435150,2000-07-25 05:00:00
3.583333,3.888889,3.138889,3.861111,884250,2000-07-26 05:00:00
3.722222,4.222222,3.666667,3.805556,1004400,2000-07-27 05:00:00
3.805556,3.819444,3.444444,3.611111,681750,2000-07-28 05:00:00
3.555556,4.236111,3.305556,4.194444,1438200,2000-07-31 05:00:00
3.986111,4.027778,3.861111,3.875,446400,2000-08-01 05:00:00
3.888889,4.041667,3.777778,3.791667,297900,2000-08-02 05:00:00
3.777778,4.0,3.666667,3.902778,220950,2000-08-03 05:00:00
4.0,4.013889,3.75,3.791667,366750,2000-08-04 05:00:00
3.777778,3.861111,3.444444,3.555556,522000,2000-08-07 05:00:00
3.722222,3.722222,3.444444,3.5,148500,2000-08-08 05:00:00
3.493056,3.541667,3.222222,3.263889,355050,2000-08-09 05:00:00
3.277778,3.472222,3.25,3.277778,225900,2000-08-10 05:00:00
3.180556,3.277778,2.930556,3.111111,388350,2000-08-11 05:00:00
3.256944,3.256944,3.111111,3.111111,167850,2000-08-14 05:00:00
3.097222,3.111111,2.805556,2.805556,616500,2000-08-15 05:00:00
2.833333,3.152778,2.833333,3.041667,243450,2000-08-16 05:00:00
3.111111,3.222222,3.027778,3.222222,537300,2000-08-17 05:00:00
3.229167,3.25,3.111111,3.111111,116550,2000-08-18 05:00:00
3.090278,3.097222,2.944444,3.013889,73800,2000-08-21 05:00:00
2.944444,3.013889,2.916667,2.944444,80550,2000-08-22 05:00:00
2.888889,2.916667,2.777778,2.902778,191250,2000-08-23 05:00:00
2.861111,2.888889,2.777778,2.861111,221400,2000-08-24 05:00:00
2.840278,3.361111,2.777778,3.361111,649350,2000-08-25 05:00:00
