open,high,low,close,volume,datetime
48.03125,48.25,47.03125,47.1875,2173400,1/3/00 6:00
46.4375,47.40625,45.3125,45.3125,2713800,1/4/00 6:00
45.5625,48.125,45.5625,46.625,3699400,1/5/00 6:00
47.15625,51.25,47.15625,50.375,5975800,1/6/00 6:00
50.5625,51.90625,49.96875,51.375,4101200,1/7/00 6:00
50.21875,51.75,50,51.125,3863800,1/10/00 6:00
50.375,51.25,50.25,50.25,2357600,1/11/00 6:00
50.96875,51.8125,50.375,50.375,2868400,1/12/00 6:00
50.65625,50.9375,50.1875,50.375,2244400,1/13/00 6:00
50.375,50.46875,49.46875,49.65625,2541800,1/14/00 6:00
48.625,49.625,48.5625,48.5625,2114800,1/18/00 6:00
48.875,49.96875,48.875,49.40625,2628200,1/19/00 6:00
49.53125,49.6875,47.25,47.5625,3104600,1/20/00 6:00
47.625,48.28125,47.28125,47.46875,4491800,1/21/00 6:00
47.90625,47.90625,45.8125,46.375,2971000,1/24/00 6:00
47.4375,47.4375,45.125,45.6875,3691200,1/25/00 6:00
47.9375,48.75,47.65625,48.15625,7020800,1/26/00 6:00
48.59375,49.15625,48.03125,48.125,2914800,1/27/00 6:00
47.875,47.90625,46.125,46.125,3747400,1/28/00 6:00
46.125,48.6875,46.03125,46.8125,3282800,1/31/00 6:00
47.1875,48.09375,46.875,47.0625,2642200,2/1/00 6:00
46.59375,47,46,46.25,2924200,2/2/00 6:00
45.96875,46.0625,45,45.84375,3520600,2/3/00 6:00
45.96875,46.21875,44.53125,44.53125,3293400,2/4/00 6:00
44.625,44.6875,43.3125,43.8125,3935400,2/7/00 6:00
43.8125,45.09375,43.71875,43.84375,2884000,2/8/00 6:00
44.3125,44.5,43.75,43.8125,2600400,2/9/00 6:00
43.625,43.625,42.65625,43,4020000,2/10/00 6:00
42.6875,43.25,40.65625,41.46875,4491600,2/11/00 6:00
41.625,42.375,41.1875,41.4375,3356400,2/14/00 6:00
41.875,45.28125,41.75,44.5625,3736000,2/15/00 6:00
44.1875,45.1875,43.78125,44.15625,2581800,2/16/00 6:00
44.5,45.9375,44.46875,44.8125,3405400,2/17/00 6:00
44.9375,45.34375,43.1875,43.78125,2864200,2/18/00 6:00
43.875,45.21875,43.25,45.0625,2884600,2/22/00 6:00
45.6875,46.96875,45.40625,46.15625,4460800,2/23/00 6:00
45.9375,46.0625,44.78125,45.5,3800200,2/24/00 6:00
44.0625,44.65625,42.59375,42.875,3627200,2/25/00 6:00
43.46875,44.4375,42.5,43.21875,3076600,2/28/00 6:00
42.65625,44.59375,42.3125,44.09375,2765400,2/29/00 6:00
43.59375,43.875,42.53125,43.0625,2891600,3/1/00 6:00
43.0625,43.875,42.84375,43.03125,2186000,3/2/00 6:00
43.875,47.3125,43.75,44.75,4581000,3/3/00 6:00
44.65625,45.625,43.625,43.625,2052600,3/6/00 6:00
44.125,44.4375,41,41.375,5195600,3/7/00 6:00
41.4375,42.125,40.5,41.28125,4693200,3/8/00 6:00
40.40625,40.96875,40.25,40.46875,3258200,3/9/00 6:00
40.3125,41.34375,40.1875,40.75,5751600,3/10/00 6:00
39.5,40.25,39.375,39.5,3787800,3/13/00 6:00
39.59375,40,39.28125,39.5625,3156600,3/14/00 6:00
39.09375,41.875,39.09375,41.25,4240000,3/15/00 6:00
42.375,44.625,41.96875,44.03125,4804800,3/16/00 6:00
43.46875,44.59375,42.9375,42.9375,4068200,3/17/00 6:00
42.96875,43.90625,42.6875,43.5,2727600,3/20/00 6:00
43.40625,45.75,43.28125,45.21875,3827600,3/21/00 6:00
44.5,44.6875,42.5,43,4404800,3/22/00 6:00
42.375,43.625,42.375,43.5,4972000,3/23/00 6:00
45,46.625,44.84375,45.4375,5925000,3/24/00 6:00
