open,high,low,close,volume,datetime
7.0525,7.115,6.74,6.9275,149600,2000-01-03 06:00:00
6.865,7.0525,6.615,7.0525,140100,2000-01-04 06:00:00
7.115,7.24,6.615,6.8025,199900,2000-01-05 06:00:00
6.8025,7.24,6.8025,6.99,216200,2000-01-06 06:00:00
7.0525,7.3025,6.99,7.24,164900,2000-01-07 06:00:00
7.115,7.115,6.865,6.99,107300,2000-01-10 06:00:00
6.865,7.1775,6.8025,7.115,80900,2000-01-11 06:00:00
7.115,7.1775,6.6775,6.6775,186600,2000-01-12 06:00:00
6.9275,6.9275,6.8025,6.9275,153100,2000-01-13 06:00:00
6.865,7.3025,6.8025,7.1775,391900,2000-01-14 06:00:00
7.4275,7.8025,7.1775,7.8025,449100,2000-01-18 06:00:00
7.865,8.115,7.24,7.615,490600,2000-01-19 06:00:00
7.49,7.49,7.1775,7.49,279300,2000-01-20 06:00:00
7.49,7.9275,7.49,7.9275,449000,2000-01-21 06:00:00
7.9275,8.6775,7.9275,7.99,390900,2000-01-24 06:00:00
8.115,8.365,7.865,8.24,208800,2000-01-25 06:00:00
8.615,8.6775,8.3025,8.3025,331700,2000-01-26 06:00:00
8.3025,8.365,7.3025,7.3025,215000,2000-01-27 06:00:00
7.365,7.615,7.115,7.115,190000,2000-01-28 06:00:00
7.115,7.3025,7.0525,7.0525,164200,2000-01-31 06:00:00
7.115,7.4275,6.9275,7.4275,134100,2000-02-01 06:00:00
7.49,7.99,7.49,7.8025,232100,2000-02-02 06:00:00
7.9275,7.9275,7.24,7.49,137100,2000-02-03 06:00:00
7.615,7.74,7.0525,7.365,99400,2000-02-04 06:00:00
7.4275,7.4275,6.8025,7.1775,133900,2000-02-07 06:00:00
7.1775,7.1775,6.8025,6.865,189200,2000-02-08 06:00:00
6.865,6.865,6.615,6.615,108500,2000-02-09 06:00:00
6.5525,6.865,6.4275,6.8025,155800,2000-02-10 06:00:00
6.8025,6.8025,6.49,6.615,154300,2000-02-11 06:00:00
6.49,6.5525,6.24,6.365,206900,2000-02-14 06:00:00
6.49,6.615,6.24,6.5525,665400,2000-02-15 06:00:00
6.49,6.49,6.1775,6.24,617200,2000-02-16 06:00:00
6.3025,6.4275,5.99,6.1775,211200,2000-02-17 06:00:00
6.24,6.3025,5.24,5.365,630400,2000-02-18 06:00:00
5.615,6.1775,5.5525,5.9275,411400,2000-02-22 06:00:00
6.115,6.365,5.74,6.1775,468400,2000-02-23 06:00:00
6.0525,6.24,5.9275,6.24,273800,2000-02-24 06:00:00
6.1775,6.4275,5.865,5.9275,210700,2000-02-25 06:00:00
5.74,6.24,5.6775,6.1775,146600,2000-02-28 06:00:00
6.115,6.865,5.99,6.8025,363300,2000-02-29 06:00:00
6.6775,7.49,6.365,6.9275,387800,2000-03-01 06:00:00
6.8025,7.3025,6.74,7.24,385300,2000-03-02 06:00:00
7.1775,7.24,6.6775,6.6775,217400,2000-03-03 06:00:00
6.8025,6.99,6.6775,6.865,200300,2000-03-06 06:00:00
6.8025,8.0525,6.8025,7.5525,551500,2000-03-07 06:00:00
7.49,7.615,7.1775,7.615,383800,2000-03-08 06:00:00
7.615,7.99,7.365,7.9275,337800,2000-03-09 06:00:00
7.9275,8.1775,7.4275,7.4275,184000,2000-03-10 06:00:00
7.6775,7.6775,6.9275,6.9275,111500,2000-03-13 06:00:00
7.0525,7.615,7.0525,7.24,205100,2000-03-14 06:00:00
