open,high,low,close,volume,datetime
228.78,235.94,226.4,232.62,1124440,2022-01-10 06:00:00
232.79,234.68,228.89,233.96,1196212,2022-01-11 06:00:00
234.34,235.0,232.48,233.77,813452,2022-01-12 06:00:00
234.4307,235.02,230.03,231.21,953316,2022-01-13 06:00:00
230.35,233.3684,223.82,229.12,1676002,2022-01-14 06:00:00
228.39,229.29,221.8,227.16,1429318,2022-01-18 06:00:00
227.03,230.67,224.91,226.56,1358323,2022-01-19 06:00:00
230.0768,231.4,226.56,228.24,999401,2022-01-20 06:00:00
229.06,231.63,224.72,225.64,1099293,2022-01-21 06:00:00
224.25,232.09,221.2,230.84,1826065,2022-01-24 06:00:00
226.16,233.0391,222.17,226.65,1462869,2022-01-25 06:00:00
227.24,233.04,223.64,225.55,1371109,2022-01-26 06:00:00
227.69,228.03,220.87,222.99,1202078,2022-01-27 06:00:00
222.99,231.36,220.78,231.09,756256,2022-01-28 06:00:00
